	source	target	edge
0	Watch		introduce
1	GPS		accepta
2	dubla  Huawei		avand
3	2.0  identifica	sugestii  sa	ofera
4	aspectului  niciodata	otel  ceasului	ajuta
5	doar  ce		important
6	energie  bateria		aiba
7	ceea		acum
8	ca  parintii		Poate
9	usoara  Meniul		disponibil
10	GSM  ceas		are
11	ca  Cel		poate
12	somn  Indeplineste		obiectivele
13	personalizabile  ce	noilor  cadrane	gratie noilor
14	zilnice  Galaxy		incorporate
15	si  reduci		Verifica
16	iti		poti
17	astfel  incarci	si  fii	Dispune
18	patrar  mareele	sa	permit
19	vocal  care		exista
20	iti		SpO2
21	in  ceasul		da
22	arse  notificarile	efectuati  si	ofera
23	smartwatch		poate
24	permitandu  iti	controlezi	tracking
25	si  pana		poate
26	GT  2e		Suporta
27	si  sa		suporta
28	si  altele		sport
29	Ceasul	drumetie  senzorii	monitorizeaza
30		unde  si	stii
31	ochilor  si		identifice
32	cinci  optiuni		Exista
33	PPG  ceasul	zile  sa	poate
34			Efectuati
35	zile  Ceasul		incarca
36	Ceasul		Poate
37	diferite  Poti		poti
38	informatiilor  si	te	poti
39	mAh  ce		realizat
40	240  afisajul		ofera
41	telefonului  conexiune		necesita
42	utilizare  aceasta		asigura
43	arteriale  monitorizarea		functii
44	3  acesta	mai  protectiei	incarcati
45	ROM  memoria		are
46	cand  Functia		mAh
47	Cardul		instalati
48	smartwatch		poate
49	arse  notificarile	efectuati  si	ofera
50	si  pana		poate
51			Functii
52	anterioare  Rezistenta		testata
53	DLC  Editiile		adauga
54	Utilizare		naviga
55	dinamica  monitorizarea		ajustate
56	cadran  care		poti
57	tau  Aplicația	și  sa	cronometra
58	apeluri  mesaje		Bucura
59	propriile  fotografii	adevarat  tau	intereseaza
60	mainii  Sistemul		date complexe
61	in  care	sa	angajat
62	2  mini		poate
63	Watch		realiza
64	Kirin		performanta
65	Bluetooth  muzica	Bluetooth  sa	sincroniza
66	puterii  Huawei		ofera
67	poti  stresul		Descopera
68	ce		iti
69	Bluetooth  sa		in
70	sa	faci  iti	atat
71	tau		afla
72	De  iti	sa	putea
73	tau  Bratarile	te	interschimbabile
74	sport  si		Folosind
75	calitate  Suporta		are
76	si  esti		prelua
77	inregistrari  asculta		poate
78			Suporta
79			pot
80	estimativ  indicatiile		tiltu
81	gestionezi		Galaxy
82	Ecran		Fara
83	functia	si	necesar
84	intre	circulatia  sangelui	individ sanatos
85			stand-by
86	aprins  iti	-ti	ofera
87	personaliza	temei  aspectului	propria
88	cardiac  consumul		ajuta
89	curent  sanatatea	curent  ti	poate
90	melodii  Cool		asa
91	In  poti		raspunde
92	ce		bazeaza
93	Sincronizare		automata
94	ECG  batai	inimii	Galaxy
95	Watch		vine
96	rapid  Galaxy		dispune
97	mainii  Monitorizarea		trimite
98	Ceasul		Poate
99	arse  ceasul	GO4FIT  sa	poate
100	mAh  ce		realizat
101	notificari  care	te	Poate
102	iluminare  Cadranul	ticaitul  ii	dau
103		stilului  tau	continua
104	indiferent  zi	sAMOLED  -ti	vezi
105	standard  iti		Rezistenta
106	dvs  acesta	adrese  sa	poate
107	familiei  Functia	sa	poate
108	complet  Imaginea		poate
109	fierbinte  stropirea		poate
110	diferite  notificari		™
111	altele		recomandam
112	inteligent  ceas		citi
113	ceasului  curea	navigat  afisajului	aluminiu
114	moda  ghidarea		rezistenta
115	cardiac  ce		echipat
116	Ceasul	drumetie  senzorii	monitorizeaza
117	autonomie  crescuta	ca  HUAWEI	smartwatch
118	ca  parintii		Poate
119	usoara  Meniul		disponibil
120	GSM  ceas		are
121	ca  Cel		poate
122	fitness  Functia	PacePro  sa	permite
123	mainii  masura	utilizeaza	Pulse
124	Optimizeaza		utilizand
125	Bateria		interna
126	aspectului  niciodata	otel  ceasului	ajuta
127	doar  ce		important
128	energie  bateria		aiba
129	GT  2e		Suporta
130	marcati  cronometrul	si  interfetei	daca
